Bureau of Justice Statistics,,,,,,,
Filename: fvsv9410at09,,,,,,,
"Appendix table 9. Standard errors for table 5: Rape and sexual assault victimizations against females, by offender weapon possession, 1994–1998, 1999–2004, and 2005–2010",,,,,,,
"Report title: Female Victims of Sexual Violence, 1994-2010",,,,,,,
"Data source: BJS National Crime Victimization Survey, 1994-2010",,,,,,,
"Authors: Michael Planty and Lynn Langton, BJS; Christopher Krebs, Marcus Berzofsky and Hope Smiley-McDonald, RTI International",,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,
Date of release: 03/07/13,,,,,,,
,,,,,,,
"Appendix table 9. Standard errors for table 5: Rape and sexual assault victimizations against females, by offender weapon possession, 1994–1998, 1999–2004, and 2005–2010",,,,,,,
Weapon present,,1994–1998,,1999–2004,,2005–2010,
,Total,~,,~, ,~,
No weapon,,1.2,% ,1.5,% ,2.2,% 
 Weapon,,0.9, %,1.2, %,1.7,%
,Firearm,0.6, ,0.5, ,1.3, 
,Knife,0.5, ,0.8, ,1.1, 
,Other/unknown type,0.3,,0.8,,0.5,
Don’t know,,0.8,%,0.9,%,1.3,%
~Not applicable.,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1994–2010.",,,,,,,
