Bureau of Justice Statistics,,,,,,,
Filename: fvsv9410at06,,,,,,,
"Appendix table 6. Standard errors for table 2: Activity and location of female victims when rape and sexual assault occurred, 1994–1998, 1999–2004, and 2005–2010",,,,,,,
"Report title: Female Victims of Sexual Violence, 1994-2010",,,,,,,
"Data source: BJS National Crime Victimization Survey, 1994-2010",,,,,,,
"Authors: Michael Planty and Lynn Langton, BJS; Christopher Krebs, Marcus Berzofsky and Hope Smiley-McDonald, RTI International",,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,
Date of release: 03/07/13,,,,,,,
 ,,,,,,,
"Appendix table 6. Standard errors for table 2: Activity and location of female victims when rape and sexual assault occurred, 1994–1998, 1999–2004, and 2005–2010",,,,,,,
Location and activity,,1994–1998,,1999–2004,,2005–2010,
Location when crime occurred,,~, ,~, ,~,
,At or near victim’s home,1.9,% ,1.9,% ,2.8,% 
,At or near home of friend/relative/acquaintance,1.4, ,1.4, ,1.8,
  ,,,,,, ,
,Commercial place/parking lot or garage,1.3, ,1.4, ,1.7,
  ,,,,,, ,
,School,0.8, ,1.2, ,1.5, 
,Open areas/public transportation/other,1.3, ,1.3, ,2,
Activity when crime occurred,,~,,~,,~,
,Working,1.2,% ,1.1,% ,1.8,% 
,Attending school,0.7,,1.1,,1.4,
,Sleeping/other activities at home,1.9, ,1.9, ,2.8, 
,"Traveling to or from work, school, other place/shopping or errands/ leisure activity away from home",1.7, ,1.8, ,2.5,
,Other/unknown,1, ,0.9, ,1.2, 
~Not applicable.,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1994–2010.",,,,,,,
