Bureau of Justice Statistics,,,,,,,,
Filename: fvsv9410at15,,,,,,,,
"Appendix table 15. Standard errors for table 10: Rape or sexual assault victimization against females, with police response, by type of response, 1994–1998, 1999–2004, and 2005–2010",,,,,,,,
"Report title: Female Victims of Sexual Violence, 1994-2010",,,,,,,,
"Data source: BJS National Crime Victimization Survey, 1994-2010",,,,,,,,
"Authors: Michael Planty and Lynn Langton, BJS; Christopher Krebs, Marcus Berzofsky and Hope Smiley-McDonald, RTI International",,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,
Date of release: 03/07/13,,,,,,,,
,,,,,,,,
"Appendix table 15. Standard errors for table 10: Rape or sexual assault victimization against females, with police response, by type ",,,,,,,,
"of response, 1994–1998, 1999–2004, and 2005–2010",,,,,,,,
Responses,,,1994–1998,,1999–2004,,2005–2010,
,Total,,~,,~,,~,
Not reported,,,1.7,%,1.9,%,2.7,% 
Reported,,,1.7,,1.9,,2.7, 
,Police came when notified,,,,,,,
,,Yes,3.2,% ,2.4,% ,3.5,% 
,,No,2.8, ,2.1, ,3.2, 
,,Unknown/other,1.7, ,1.2, ,1.3,
~Not applicable.,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1994–2010.",,,,,,,,
