Bureau of Justice Statistics,,,,,,,,
Filename: fvsv9410at13,,,,,,,,
"Appendix table 13. Standard errors for table 8: Rape and sexual victimizations against females reported and not reported to police, 1994–1998, 1999–2004, and 2005–2010",,,,,,,,
"Report title: Female Victims of Sexual Violence, 1994-2010",,,,,,,,
"Data source: BJS National Crime Victimization Survey, 1994-2010",,,,,,,,
"Authors: Michael Planty and Lynn Langton, BJS; Christopher Krebs, Marcus Berzofsky and Hope Smiley-McDonald, RTI International",,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,
Date of release: 03/07/13,,,,,,,,
,,,,,,,,
"Appendix table 13. Standard errors for table 8: Rape and sexual victimizations against females reported and not reported to police, 1994–1998, 1999–2004, and 2005–2010",,,,,,,,
Reporting to police,,,1994–1998,,1999–2004,,2005–2010,
,Total,,~,,~,,~,
Not reported,,,1.7,%,1.9,%,2.7,%
Reported,,,1.7,%,1.9,%,2.7,%
,Source of report,,~, ,~, ,~,
,,Victim,3.4,,3,,4.4,
,,Other household member,2.9, ,2, ,2.7, 
,,An official other than police,1.3, ,1.7, ,3.1, 
,,Someone else,2.1, ,1.8, ,2.7, 
,,Police were at crime scene,0.6,,1.1,,1,
,,Other,1.7, ,1.3,,0.7,
~Not applicable.,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1994–2010.",,,,,,,,
