Bureau of Justice Statistics,,,,,,,,
Filename: fvsv9410at14,,,,,,,,
"Appendix 14. Standard errors for table 9: Rape and sexual assault victimizations against females reported and not reported to police, by most important reason for reporting or not reporting, 1994–1998, 1999–2004, and 2005–2010 ",,,,,,,,
"Report title: Female Victims of Sexual Violence, 1994-2010",,,,,,,,
"Data source: BJS National Crime Victimization Survey, 1994-2010",,,,,,,,
"Authors: Michael Planty and Lynn Langton, BJS; Christopher Krebs, Marcus Berzofsky and Hope Smiley-McDonald, RTI International",,,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,,
Date of release: 03/07/13,,,,,,,,
,,,,,,,,
"Appendix 14. Standard errors for table 9: Rape and sexual assault victimizations against females reported and not reported to police, ",,,,,,,,
"by most important reason for reporting or not reporting, 1994–1998, 1999–2004, and 2005–2010 ",,,,,,,,
,,,1994–1998,,1999–2004,,2005–2010,
,Total,,~,,~,,~,
Reported,,,1.7,%,1.9,%,2.7,%
,Reason reported,,~,,~,,~,
,,To stop incident or prevent recurrance or escalation,3.5,% ,2.8,% ,4.9,% 
,,To get help or recover loss,1.4,,1.2,,2,
,,To protect respondent and household from further crimes by this offender,3.6, ,2.9, ,5.1, 
,,To catch/punish/prevent offender from reoffending,3.3, ,3.1, ,4.2, 
,,To improve police surveillance/duty to tell police/because it was a crime,4.2, ,3.2, ,4.6, 
,,Other/unknown/not one most important reason,3.8, ,3.2, ,2.6,
Not reported,,,1.7,%,1.9,%,2.7,%
,Reason not reported,,~,,~,,~,
,,Reported to different official,1.3,% ,1.5,% ,1.8,% 
,,Personal matter,1.8, ,1.9, ,2.3, 
,,Not important enough to respondent,1.1, ,1.3, ,1.8, 
,,Police could not do anything to help,0.6, ,0.6,,0.9,
,,Police would not do anything to help,1, ,1.3, ,2.3, 
,,Did not want to get offender in trouble with law,0.9, ,0.9, ,1.8, 
,,Advised not to report,0.3,,--,,--,
,,Fear of reprisal,1.6, ,1.8, ,2.8, 
,,Other/unknown/not one most important reason,2, ,2.3, ,3.2, 
~Not applicable.,,,,,,,,
--Less than 0.05%. ,,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1994–2010.",,,,,,,,
