Bureau of Justice Statistics,,,,,,,
Filename: fvsv9410at08,,,,,,,
"Appendix table 8. Standard errors for table 4: Rape and sexual assault victimizations against females, by perceived offender characteristics, 1994–1998, 1999–2004, and 2005–2010",,,,,,,
"Report title: Female Victims of Sexual Violence, 1994-2010",,,,,,,
"Data source: BJS National Crime Victimization Survey, 1994-2010",,,,,,,
"Authors: Michael Planty and Lynn Langton, BJS; Christopher Krebs, Marcus Berzofsky and Hope Smiley-McDonald, RTI International",,,,,,,
Refer questions to: askbjs@usdoj.gov 202-307-0765,,,,,,,
Date of release: 03/07/13,,,,,,,
,,,,,,,
"Appendix table 8. Standard errors for table 4: Rape and sexual assault victimizations against females, by perceived offender characteristics, 1994–1998, 1999–2004, and 2005–2010",,,,,,,
Offender characteristics,,1994–1998,,1999–2004,,2005–2010,
Age,,~,,~,,~,
,17 or younger,1.2,% ,1.2,% ,1.8,% 
,18–20,1.1,,1.2,,1.8,
,21–29,1.7, ,1.9, ,2.7, 
,30 or older,2, ,2.1, ,3.1, 
,Other,0.5, ,0.6, ,1.1, 
Race,,~, ,~, ,~,
,White,1.8,% ,1.9,% ,2.8,% 
,Black,1.4,,1.7,,2.5,
,Other,1, ,1.1, ,1.3, 
,Mixed group,0.4, ,0.3, ,0.5, 
,Unknown,0.5, ,0.7,,1.5,
Alcohol/drug use at time of incident,,~, ,~, ,~,
,Yes,1.9,% ,1.9,% ,2.8,% 
,No,1.8, ,1.8, ,2.7, 
,Unknown,1.5, ,1.8, ,2.6, 
~Not applicable.,,,,,,,
"Source: Bureau of Justice Statistics, National Crime Victimization Survey, 1994–2010.",,,,,,,
